bearing,mu,sigma_sq,wiener_rmse,wiener_r2,exp_a,exp_b,exp_rmse,final_stage,t_eol
Bearing1_1,0.00819672131147541,0.0031500384070884185,0.30049807129336,-1.1110833444069192,0.07878256851841044,0.018945447600906478,0.07160869444505683,F,122.0
Bearing1_2,0.006043760606572345,0.0029125554410411787,0.21705132011614206,0.09406101525281718,0.9130937064562041,0.0034325974796590238,0.08313908163910946,F,160.0
Bearing1_3,0.006091360084342109,0.0012846536716232804,0.3556719440445108,-1.3661256060020204,0.002151451579867364,0.03887984402811634,0.05270091686937135,F,157.0
Bearing2_2,0.006198182828029596,0.002760346136805937,0.280238467203053,-0.9904431533623042,0.4005580675955568,0.005672915716015613,0.067177517958856,F,160.0
Bearing2_4,0.024094767448588482,0.004205693596330965,0.3523099920111616,-0.4405627101878218,0.00446264554781366,0.1342243834859133,0.07857027537920983,F,41.0
Bearing2_5,0.002863718664965766,0.0010872429037604493,0.3139234918325836,-0.6251002249066073,0.019907250987134844,0.011220237576304594,0.06007150739835932,F,338.0
Bearing3_1,0.0003762464057450757,0.00011176730981269982,0.5357195375396415,-69.85782330396823,1.0000000000001107e-08,0.006805636484196676,0.03672607204503335,F,2537.0
Bearing3_2,0.0003591549171929941,0.0029581810413229024,0.5034317418084386,-30.577275597538637,1.6025516399825626e-07,0.005824914476632804,0.0655344810996414,F,2495.0
Bearing3_5,0.008811583266408914,0.0022914240929479057,0.09726677251160255,0.8385367378477179,9.999999999999982,0.0008050595375144676,0.09489940923908592,F,113.0
